lon,lat,lanid12,lanid17,mirad12,mirad17,aim12,aim17,aim_valid
-122.3,41.5,1335.15515136719,1160.38928222656,1313.109375,976.658081054688,0,0,0
-122.3,41.7,2323.99291992188,1647.93835449219,2473.36865234375,1680.60327148438,0,0,0
-122.3,41.9,227.871612548828,99.8916091918945,106.25,62.5,0,0,0
-122.3,42.7,0,0,0,0,0,0,0
-122.3,45.1,0,1.21687924861908,20.8394966125488,0,0,0,0
-122.3,45.3,262.646148681641,157.812530517578,1590.50720214844,1015.40747070313,0,0,0
-122.3,45.5,239.220718383789,292.571014404297,1105.95861816406,1300.18310546875,0,0,0
-122.3,45.7,15.1199998855591,20.1599998474121,133.727722167969,75.1070022583008,0,0,0
-122.3,46.3,8.1899995803833,7.92000007629395,0,0,0,0,0
-122.3,46.5,118.440002441406,139.410003662109,0,25,0,0,0
-122.3,46.7,11.0648593902588,10.884859085083,0,0,0,0,0
-122.3,46.9,104.336616516113,190.556610107422,187.582901000977,56.25,0,0,0
-122.3,47.1,114.040107727051,140.957229614258,93.75,37.5,0,0,0
-122.3,47.3,147.960006713867,93.7799987792969,6.10768461227417,32.6643600463867,0,0,0
-122.3,47.5,8.55000019073486,21.5100002288818,0,35.9433250427246,0,0,0
-122.3,47.7,0,0,0,0,0,0,0
-122.3,47.9,0,0,12.5,25,0,0,0
-122.3,48.1,98.2378997802734,146.333435058594,162.5,296.561584472656,0,0,0
-122.3,48.3,2607.7041015625,2898.12548828125,789.71875,1113.36462402344,0,0,0
-122.3,48.5,3315.58422851563,3524.58569335938,2810.32958984375,3138.88525390625,0,0,0
-122.3,48.7,203.243789672852,222.877990722656,640.008361816406,838.130859375,0,0,0
-122.3,48.9,5233.57177734375,4830.5,3507.1796875,3859.08666992188,0,0,0
-122.1,37.3,4.32000017166138,4.32000017166138,0,0,0,0,0
-122.1,37.7,40.8361282348633,16.7399997711182,83.6934509277344,83.6934509277344,0,0,0
-122.1,37.9,0,0,0,0,0,0,0
-122.1,38.1,172.74333190918,128.251937866211,93.75,81.25,0,0,0
-122.1,38.3,1728.90490722656,1381.70068359375,2312.5,1293.75,0,0,0
-122.1,38.5,333.239898681641,552.656921386719,206.310302734375,480.993316650391,0,0,0
-122.1,38.7,5195.81982421875,6474.45458984375,4712.47705078125,5926.98486328125,0,0,0
-122.1,38.9,5680.1533203125,6488.13037109375,3854.10205078125,5024.626953125,0,0,0
-122.1,39.1,22131.44921875,20399.275390625,22631.19140625,19855.548828125,0,0,0
-122.1,39.3,25991.10546875,24719.068359375,26455.28515625,25039.41015625,0,0,0
-122.1,39.5,29785.345703125,29489.5234375,31344.33984375,31035.330078125,0,0,0
-122.1,39.7,26385.015625,25352.34765625,27921.34765625,26377.181640625,0,0,0
-122.1,39.9,16016.3271484375,14900.9677734375,16103.513671875,13911.8544921875,0,0,0
-122.1,40.1,10861.607421875,9231.412109375,12013.123046875,10355.908203125,0,0,0
-122.1,40.3,453.563385009766,342.115417480469,596.319763183594,556.845397949219,0,0,0
-122.1,40.5,129.890121459961,111.172584533691,134.495361328125,181.687026977539,0,0,0
-122.1,40.7,50.4000015258789,50.4000015258789,118.75,143.75,0,0,0
-122.1,41.7,1873.861328125,1304.81372070313,2214.708984375,1261.34558105469,0,0,0
-122.1,41.9,2569.37548828125,1743.27294921875,2599.96337890625,1670.87866210938,0,0,0
-122.1,42.1,0,0,0,0,0,0,0
-122.1,42.3,19.6356086730957,22.7225093841553,156.847869873047,176.718765258789,0,0,0
-122.1,42.7,426.737274169922,1080.10693359375,4838.5859375,7899.91064453125,0,0,0
-122.1,42.9,0,0,0,0,0,0,0
-122.1,45.5,4.32000017166138,7.55999994277954,68.75,57.6486930847168,0,0,0
-122.1,45.7,0,4.76999998092651,16.4008522033691,0,0,0,0
-122.1,46.3,0,0,0,0,0,0,0
-122.1,46.7,25.4751415252686,27.095142364502,12.5,0,0,0,0
